ImageFileName,values(ComputerName)
\Device\HarddiskVolume2\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,CV9-CHOCOMGMT01
\Device\HarddiskVolume2\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,JLOH10-2D
\Device\HarddiskVolume2\ProgramData\chocolatey\lib\chocolatey-management-service\tools\service\chocolatey-central-management.exe,CV9-CHOCOMGMT01
\Device\HarddiskVolume3\ProgramData\chocolatey\bin\chocolateygui.exe,1VKZ2D3
\Device\HarddiskVolume3\ProgramData\chocolatey\bin\chocolateyguicli.exe,HW527D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,45078401657
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,10267D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,104CFB3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,12WY2D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,1.54753E+14
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,1BX17D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,1H8KFB3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,1TW66D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,1VKZ2D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,21903D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,29X17D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,2C027D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,310W1J3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,33YXMF2
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,3LSP493
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,3N77DB3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,3T62FB3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,3W837D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,40M8NQ2
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,49V87D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,4CVN493
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,4L906S2
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,4LQ0DB3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,4PK47D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,5CN9FB3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,5MHZPV2
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,5S837D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,60267D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,66X17D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,6VLZ5G3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,72Q47D3
\Device\HarddiskVolume3\ProgramData\chocolatey\lib\chocolatey-agent\tools\service\chocolatey-agent.exe,7MR5163
